long,lat,value
289.500000, -54.500000, -0.276140
290.500000, -54.500000, -0.161537
288.500000, -53.500000, -0.585794
290.500000, -53.500000, -0.236523
291.500000, -53.500000, -0.048070
285.500000, -52.500000, -0.781748
286.500000, -52.500000, -0.966748
287.500000, -52.500000, -0.740995
288.500000, -52.500000, -0.515246
289.500000, -52.500000, -0.307076
290.500000, -52.500000, -0.104769
291.500000, -52.500000, 0.090497
285.500000, -51.500000, -1.090199
286.500000, -51.500000, -1.224704
287.500000, -51.500000, -0.834702
288.500000, -51.500000, -0.444700
289.500000, -51.500000, -0.186835
290.500000, -51.500000, 0.026985
285.500000, -50.500000, -0.922871
286.500000, -50.500000, -1.036652
287.500000, -50.500000, -0.670570
288.500000, -50.500000, -0.304489
289.500000, -50.500000, -0.113396
290.500000, -50.500000, 0.019370
285.500000, -49.500000, -0.596953
286.500000, -49.500000, -0.699927
287.500000, -49.500000, -0.420493
288.500000, -49.500000, -0.141056
289.500000, -49.500000, -0.055555
290.500000, -49.500000, -0.034701
291.500000, -49.500000, 0.023825
292.500000, -49.500000, 0.195363
285.500000, -48.500000, -0.353879
286.500000, -48.500000, -0.449912
287.500000, -48.500000, -0.233295
288.500000, -48.500000, -0.016677
289.500000, -48.500000, -0.000865
290.500000, -48.500000, -0.051990
291.500000, -48.500000, -0.050215
292.500000, -48.500000, 0.110259
285.500000, -47.500000, -0.359352
286.500000, -47.500000, -0.460021
287.500000, -47.500000, -0.234740
288.500000, -47.500000, -0.009460
289.500000, -47.500000, 0.044377
290.500000, -47.500000, 0.041066
291.500000, -47.500000, 0.064854
292.500000, -47.500000, 0.169940
293.500000, -47.500000, 0.275026
285.500000, -46.500000, -0.364825
286.500000, -46.500000, -0.470130
287.500000, -46.500000, -0.236187
288.500000, -46.500000, -0.002242
289.500000, -46.500000, 0.089620
290.500000, -46.500000, 0.134121
291.500000, -46.500000, 0.179922
292.500000, -46.500000, 0.229621
168.500000, -45.500000, -1.097697
169.500000, -45.500000, -0.859530
285.500000, -45.500000, -0.356666
286.500000, -45.500000, -0.503320
287.500000, -45.500000, -0.311285
288.500000, -45.500000, -0.119252
289.500000, -45.500000, -0.006035
290.500000, -45.500000, 0.080909
291.500000, -45.500000, 0.147458
292.500000, -45.500000, 0.152822
168.500000, -44.500000, -1.480579
169.500000, -44.500000, -1.361053
170.500000, -44.500000, -1.134904
286.500000, -44.500000, -0.544205
287.500000, -44.500000, -0.410936
288.500000, -44.500000, -0.277668
289.500000, -44.500000, -0.148656
290.500000, -44.500000, -0.021060
291.500000, -44.500000, 0.065815
292.500000, -44.500000, 0.030530
293.500000, -44.500000, -0.004754
294.500000, -44.500000, 0.119984
146.500000, -43.500000, -0.098141
169.500000, -43.500000, -1.648728
170.500000, -43.500000, -1.579745
171.500000, -43.500000, -1.401372
172.500000, -43.500000, -0.894808
287.500000, -43.500000, -0.484660
288.500000, -43.500000, -0.395823
289.500000, -43.500000, -0.260335
290.500000, -43.500000, -0.109301
291.500000, -43.500000, -0.010217
292.500000, -43.500000, -0.066989
293.500000, -43.500000, -0.123761
294.500000, -43.500000, 0.049922
146.500000, -42.500000, 0.020397
147.500000, -42.500000, -0.082946
171.500000, -42.500000, -1.671271
172.500000, -42.500000, -1.124542
173.500000, -42.500000, -0.577814
286.500000, -42.500000, -0.568037
287.500000, -42.500000, -0.480616
288.500000, -42.500000, -0.393190
289.500000, -42.500000, -0.279203
290.500000, -42.500000, -0.156357
291.500000, -42.500000, -0.069416
292.500000, -42.500000, -0.090191
293.500000, -42.500000, -0.110965
294.500000, -42.500000, 0.018413
